employee_id,name,role,start_date,end_date,status,role_change_history
E9301,Cecilia Tisio,Software Engineer,2023-02-01,2026-09-09,terminated,[]
E9302,Kelly Jack,Software Engineer,2023-03-14,,active,[]
E9304,Bobson Dugnutt,Engineering Manager,2022-11-01,,active,[]
E9306,Ronnis Pawgood,Software Engineer,2021-08-09,2026-09-09,terminated,[]
E9308,Mike Truk,Sales Rep,2022-05-19,,active,[]
E9309,Karl Dandleton,Asset Owner,2021-01-11,,active,"[{""date"": ""2026-09-09"", ""old_role"": ""Software Engineer"", ""new_role"": ""Asset Owner""}]"
E9305,Dana Whitfield,Finance Analyst,2020-06-15,,active,[]
E9303,Sleve McDichael,Engineering Manager,2022-01-10,,active,[]
E9307,Willie Dustice,Software Engineer,2026-09-09,,active,[]
E9310,Todd Bonzalez,Sales Rep,2026-09-09,,active,[]
E9401,Glenallen Mixon,Finance Analyst,2022-03-01,2026-09-09,terminated,[]
